SMILES,IC50,pIC50,Activity,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds,RingCount,HeavyAtomCount,GI absorption,BBB permeant
CCC(CC)(C1=CC2=C(C=C1)C=C(N2)C3=NNC4=C3SC(=C4)C(F)F)O,0.2,9.698970004336019,1,375.444,5.717900000000004,3.0,3.0,64.7,5.0,4.0,26.0,0,0
C=CC(=O)NC1=CC(=CC=C1)OC2=NC(=NC3=C2C(=CN3)C4=CC=NC=C4)NC5=CC=C(C=C5)N6CCOCC6,0.5,9.301029995663981,1,533.5920000000001,5.516900000000005,3.0,8.0,117.29,8.0,6.0,40.0,0,0
CC(C(C)(C)C)NCC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=C(S3)C(F)F)CC4CCCN4C(=O)C=C,0.6,9.221848749616356,1,543.6840000000002,5.988900000000005,2.0,5.0,79.26,9.0,4.0,38.0,0,0
C=CC(=O)N1CCCC(C1)N2C3=CC=CC=C3N=C2NC(=O)C4=CC=C(S4)C5=CNN=C5,0.6,9.221848749616356,1,446.5360000000001,4.089700000000002,2.0,5.0,95.91000000000001,5.0,5.0,32.0,0,0
CC(C)(CN1C2=C(C=C(C=C2)CNCC3=CC=CC=C3)N=C1NC(=O)C4=CC=C(S4)C5=CNN=C5)O,1.0,9.0,1,500.62800000000016,4.800900000000004,4.0,6.0,107.86000000000001,9.0,5.0,36.0,0,0
CC1COCC(N1CC2=CC3=C(C=C2)N(C(=N3)NC(=O)C4=CC=C(S4)C5=CNN=C5)CC(C)(C)O)C,1.0,9.0,1,508.64800000000025,4.120300000000002,3.0,7.0,108.30000000000001,7.0,5.0,36.0,0,0
CC(C)CNCC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=C(S3)C4=CNN=C4)CC(C)(C)O,1.0,9.0,1,466.6110000000002,4.256700000000004,4.0,6.0,107.86000000000001,9.0,4.0,33.0,0,0
CC(C)(CN1C2=C(C=C(C=C2)CN(C)CC3=CN=CC=C3)N=C1NC(=O)C4=CC=C(S4)C5=CNN=C5)O,1.0,9.0,1,515.6430000000001,4.5381000000000045,3.0,7.0,111.96000000000001,9.0,5.0,37.0,0,0
CC(C(C)(C)C)N(C)CC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=C(S3)C4=CNN=C4)CC(C)(C)O,1.0,9.0,1,508.69200000000023,5.377500000000006,3.0,6.0,99.07000000000001,8.0,4.0,36.0,0,0
CC(C)(CN1C2=C(C=C(C=C2)CNC3CCCCC3)N=C1NC(=O)C4=CC=C(S4)C5=CNN=C5)O,1.0,9.0,1,492.6490000000001,4.933400000000004,4.0,6.0,107.86000000000001,8.0,5.0,35.0,0,0
