Compound_Identifier,SMILES_x,MolWt,LogP,HDonors,HAcceptors,TPSA,RotatableBonds,RingCount,HeavyAtomCount,Lipinski,SMILES_y,GI absorption,BBB permeant,Predicted_Activity,SVC_Score
RGCHKQTZZQOAEF-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1ccc(Oc3cccc(OCc4cncs4)c3)cc1)nn2C1CCNCC1,499.60000000000025,4.827800000000003,2,9,113.0,7,6,36,True,Nc1ncnc2c1c(-c1ccc(Oc3cccc(OCc4cncs4)c3)cc1)nn2C1CCNCC1,0,0,1,1.582336027032981
KHHNCAYZQUVACC-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1ccc(Oc3cccc(OCc4cncs4)c3)cc1)nn2C1CCCNC1,499.60000000000025,4.827800000000003,2,9,113.0,7,6,36,True,Nc1ncnc2c1c(-c1ccc(Oc3cccc(OCc4cncs4)c3)cc1)nn2C1CCCNC1,0,0,1,1.582336027032981
KVDJRBWGLCEUND-UHFFFAOYSA-N,Cc1ncc(COc2cc(F)cc(Oc3ccc(-c4nn(CCO)c5ncnc(N)c45)cc3)c2)s1,492.5360000000002,4.3431200000000025,2,9,121.2,8,5,35,True,Cc1ncc(COc2cc(F)cc(Oc3ccc(-c4nn(CCO)c5ncnc(N)c45)cc3)c2)s1,0,0,1,1.5636483155373524
VLYKWSMXOXFMGN-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-n2c(=O)c(C3CC3)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1,498.54300000000023,3.9464000000000024,2,8,120.26,10,5,37,True,C=CC(=O)Nc1cccc(-n2c(=O)c(C3CC3)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1,1,0,1,1.5106090196988697
FOHHRBHCQFVGNE-UHFFFAOYSA-N,CN(C)CC=CC(=O)N(C)CCn1nc(-c2ccc(Oc3ccccc3)cc2)c(C(N)=O)c1N,462.5540000000002,2.5997,2,6,119.71,10,3,34,True,CN(C)CC=CC(=O)N(C)CCn1nc(-c2ccc(Oc3ccccc3)cc2)c(C(N)=O)c1N,1,0,1,1.5050877541779202
MCAASVHSHOYFNM-UHFFFAOYSA-N,C=CC(=O)N1CCC(Nc2nccc(Nc3nc4ccc(Oc5ccccc5)nc4s3)n2)C1,459.5350000000002,4.216000000000002,2,9,105.16000000000001,7,5,33,True,C=CC(=O)N1CCC(Nc2nccc(Nc3nc4ccc(Oc5ccccc5)nc4s3)n2)C1,0,0,1,1.5036782005774856
QEIQAACMXGKWSZ-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(=O)NC2CC2)c1,446.4670000000002,3.432800000000001,3,8,127.36000000000001,9,4,33,True,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(=O)NC2CC2)c1,1,0,1,1.500942438307624
OZGYJYPOMUDFCI-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Nc2nc3c(c(Oc4ccc(OCCOC)cc4)n2)C(=O)NC3)c1,461.47800000000024,3.4056000000000006,3,8,123.70000000000002,10,4,34,True,C=CC(=O)Nc1cccc(Nc2nc3c(c(Oc4ccc(OCCOC)cc4)n2)C(=O)NC3)c1,1,0,1,1.4958584259285956
FEVGMISPGOZBKQ-UHFFFAOYSA-N,Cc1ccc(COc2cc(F)cc(Oc3ccc(-c4nn(CCO)c5ncnc(N)c45)cc3)c2)cn1,486.50700000000023,4.281620000000003,2,8,121.2,8,5,36,True,Cc1ccc(COc2cc(F)cc(Oc3ccc(-c4nn(CCO)c5ncnc(N)c45)cc3)c2)cn1,0,0,1,1.491933911176143
CJZJJZZZAOTWKI-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)NC2CC2)c1,445.4790000000002,4.037800000000002,3,7,114.47,9,4,33,True,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)NC2CC2)c1,1,0,1,1.473983888138111
